Obra,,,,,,,,,,,,,,,,,,,,O_Tipo de Obra ,O_Origen de Fondos,O_Empresa contratada,O_Referente Empresa contratada,O_Contraparte_IM,O_Referente_IM,O_Cantidad de personal en obra.,O_Contrato / licitación,O_Resolución,O_Expediente,O_Plazo previsto,O_Monto oferta ,O_Fecha oferta,O_Fecha_inicio Acta,O_Fecha_fin,O_Fecha de recepción provisoria,O_Fecha de recepción definitiva,O_Estado de la obra,O_% Avance del cuatrimestre en monto,O_Colectores_saneamiento_acumulado_m,O_% Avance m saneamiento acumulado /m totales,O_Colectores_pluviales_acumulado_m,O_% Avance m pluviales acumulado /m totales,O_Conexiones_acumulado_u,O_% Avance conexiones/ totales,O_Cámaras_acumulado_u,O_% Avance cámaras/ totales,O_Camaras 1_acumulado_u,O_% Avance cámaras 1 / totales,O_Impulsión_acumulado_m,O_% Avance Impulsión m/ m totales,O_Bocas de tormenta_ acumulado_u,O_% Avance Bocas Tormenta/ totales,O_Reguera_acumulado_u,O_Elementos SUDS_acumulado_u,O_Pozo de Bombeo % avance,O_Laminación_enterrada_% avance,O_Laminación_abierta_% avance,O_Reparaciones Boca de Tormenta acumulado,O_Reparaciones colector roto acumulado,O_Reparaciones conexión nueva acumulado,O_Reparaciones conexión rota acumulado,O_Reparaciones registro roto acumulado,O_Desobstrucción  colector acumulado,O_Desobstrucción  conexión acumulado,O_% Avance reparaciones ingreso /egresos ,O_% Avance desobstrucciones ingreso /egresos ,O_Comentarios
,P_No registro ,P_ Contrato/grupo,P_No_proyecto,P_Nombre del proyecto,P_Ubicación,P_Sistema ,P_Tipo de proyecto,P_ Mixto _Separativo_Unitario,P_Expediente ,P_Origen del proyecto,P_Realizador,P_Referente Realizador,P_Contraparte,P_Referente Contraparte,P_Costo de oficina,P_Fecha costo de oficina,P_Servicio de la  Division Saneamiento,P_Unidad ,P_Comentarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPO DE OBRAS FINANCIADO CON RECURSOS PROPIOS – AMPLIACION 2 GRUPO 32,,,,,,,,,,,,,,,,,,,,Nueva,Propios,POSSAMAI Construcciones Ltd,Ing. Fernando Cambón,SOS,Ing.Sergio Portas,,LP N° 273848/1,1147/17,2016-9210-98-000118,12 meses,"26825302,24",Marzo – 17,01/07/2017,,,01/12/2020,Finalizada ,0,1567m,100%,220m,100%,18u,100%,34u,100%,0u,,,,6u,100%,,,,,,,,,,,,,,,
GRUPO DE OBRAS FINANCIADO CON FONDOS PROPIOS GRUPO 33,,,,,,,,,,,,,,,,,,,,Nueva,Propios,LEJACIR,Ing. Leonardo Genta,SOS,Ing. Raul Martinez,,LP N° 327098/1,5421/17,2017-9073-98-000035,12 meses,"43548507,32",Diciembre – 17,12/03/2018,,14/10/2021,,Finalizada,0,5727m,100%,,,263u,100%,65u,100%,0u,,,,6u,100%,2u,,,,,,,,,,,,,,
Colector Provisorio Schneck.,,,,,,,,,,,,,,,,,,,,Nueva,Propitario,COFANUR S.A,Ing. Santiago Sorhuet,SOS,Ing. Raúl Martinez,,,388/18,2017-8634-98-000032,1 mes,7200000,01/08/2017,01/03/2018,,01/12/2020,,Finalizada,,,,,,1 u,100%,4 u,100%,,,1300m,100%,,,,,,,,,,,,,,,,,
Ensanche San Martin ( Apoyo a Movilidad),,,,,,,,,,,,,,,,,,,,Nueva,Fondo Capital,IMPACTO S.A,Ing . Leonardo Sanchez,MOVILIDAD,Ing. Mauro Arismendi,,FFC03/17,,,,"99417380,35",01/08/2017,01/03/2018,,22/07/2021,,Finalizada,,1290m,100%,1907m,100%,31 u,100%,,,,,,,32u,100%,,,,,,,,,,,,,,,
Ensanche José Belloni Tramo 2 (Apoyo Mobilidad),,,,,,,,,,,,,,,,,,,,Nueva,Fondo Capital,STILER S.A.,Ing Álvaro Leez,MOVILIDAD,Ing. Marcelo Moreira,,FFC05/17,,,,"83375620,11",01/10/2017,01/07/2018,,15/03/2021,,Finalizada,,61m,100%,3359m,100%,,,,,,,,,86u,100%,,,,,,,,,,,,,,,
Ensanche José Belloni Tramo 3 (Apoyo Mobilidad),,,,,,,,,,,,,,,,,,,,Nueva,Fondo Capital,Bersur S.A,Ing. Héctor Machin,MOVILIDAD,Ing. Marcelo Moreira,,FFC02/17,,,,"46502888,4",01/10/2017,01/01/2018,,03/09/2021,,Finalizada,,78m,100%,100m,100%,,,,,,,,,69u,100%,,,,,,,,,,,,,,,
Tunel Av. Italia (Apoyo Construcciónes Viales),,,,,,,,,,,,,,,,,,,,Nueva,Fondo Capital,STILER S.A.,,Construcciónes viales,,,,,,,"31055237,73",01/11/2019,01/06/2019,01/12/2022,,,Finalizada,,,,"272,5m",100%,,,,,,,,,16u,100%,4u,,,,,,,,,,,,,,
GRUPO DE OBRAS FINANCIADO CON RECURSOS PROPIOS – AMPLIACION 1 GRUPO 32,,,,,,,,,,,,,,,,,,,,Nueva,Propios,POSSAMAI Construcciones Ltd,Ing. Fernando Cambón,SOS,Ing.Sergio Portas,,LP N° 273848/1,5206/13,2016-9210-98-000118,12 meses,"26607904,22",,01/08/2016,,,22/12/2020,Finalizada,0,"1365,40m",100%,240m,100%,85u,100%,56u,100%,0u,,,,2u,100%,,,,,,,,,,,,,,,
Repavimentación de Av Brasil ( Apoyo Obras Viales),,,,,,,,,,,,,,,,,,,,Nueva,,GRINOR,,Construcciónes viales,,,,,2019-4530-98-000229,,390000,01/06/2019,01/06/2019,,,,Finalizada,,,,,,,,,,,,,,6u,100%,,,,,,,,,,,,,,,
